"id","title","original_title","original_title_romanised","image","movie_banner","description","director","producer","release_date","running_time","rt_score","people","species","locations","vehicles","url"
"dc2e6bd1-8156-4886-adff-b39e6043af0c","Spirited Away","千と千尋の神隠し","Sen to Chihiro no kamikakushi","https://image.tmdb.org/t/p/w600_and_h900_bestv2/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg","https://image.tmdb.org/t/p/original/bSXfU4dwZyBA1vMmXvejdRXBvuF.jpg","Spirited Away is an Oscar winning Japanese animated film about a ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?","Hayao Miyazaki","Toshio Suzuki","2001","124","97",["https://ghibliapi.herokuapp.com/people/8228751c-bdc1-4b8d-a6eb-ca0eb909568f"],["https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2"],["https://ghibliapi.herokuapp.com/locations/"],["https://ghibliapi.herokuapp.com/vehicles/"],"https://ghibliapi.herokuapp.com/films/dc2e6bd1-8156-4886-adff-b39e6043af0c"
"90b72513-afd4-4570-84de-a56c312fdf81","The Cat Returns","猫の恩返し","Neko no ongaeshi","https://image.tmdb.org/t/p/w600_and_h900_bestv2/avPMO5cnaGHgLaNiAIhy33WoQLm.jpg","https://image.tmdb.org/t/p/original/d4BTZvckFTthyhGX27LZnWxl0tl.jpg","Haru, a schoolgirl bored by her ordinary routine, saves the life of an unusual cat and suddenly her world is transformed beyond anything she ever imagined. The Cat King rewards her good deed with a flurry of presents, including a very shocking proposal of marriage to his son! Haru embarks on an unexpected journey to the Kingdom of Cats where her eyes are opened to a whole other world.","Hiroyuki Morita","Toshio Suzuki","2002","75","89",["https://ghibliapi.herokuapp.com/people/"],["https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2"],["https://ghibliapi.herokuapp.com/locations/"],["https://ghibliapi.herokuapp.com/vehicles/"],"https://ghibliapi.herokuapp.com/films/90b72513-afd4-4570-84de-a56c312fdf81"
"cd3d059c-09f4-4ff3-8d63-bc765a5184fa","Howl's Moving Castle","ハウルの動く城","Hauru no ugoku shiro","https://image.tmdb.org/t/p/w600_and_h900_bestv2/TkTPELv4kC3u1lkloush8skOjE.jpg","https://image.tmdb.org/t/p/original/hjlvbMKhQm7N8tYynr8yQ8GBmqe.jpg","When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking home.","Hayao Miyazaki","Toshio Suzuki","2004","119","87",["https://ghibliapi.herokuapp.com/people/"],["https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2"],["https://ghibliapi.herokuapp.com/locations/"],["https://ghibliapi.herokuapp.com/vehicles/"],"https://ghibliapi.herokuapp.com/films/cd3d059c-09f4-4ff3-8d63-bc765a5184fa"
"112c1e67-726f-40b1-ac17-6974127bb9b9","Tales from Earthsea","ゲド戦記","Gedo senki","https://image.tmdb.org/t/p/w600_and_h900_bestv2/67yYwCPq7NbxSF6BIIXCMD34sY0.jpg","https://image.tmdb.org/t/p/original/j276noIGGmfi66EnCfewsL2OVTX.jpg","Something bizarre has come over the land. The kingdom is deteriorating. People are beginning to act strange... What's even more strange is that people are beginning to see dragons, which shouldn't enter the world of humans. Due to all these bizarre events, Ged, a wandering wizard, is investigating the cause. During his journey, he meets Prince Arren, a young distraught teenage boy. While Arren may look like a shy young teen, he has a severe dark side, which grants him strength, hatred, ruthlessness and has no mercy, especially when it comes to protecting Teru. For the witch Kumo this is a perfect opportunity. She can use the boy's 'fears' against the very one who would help him, Ged.","Gorō Miyazaki","Toshio Suzuki","2006","116","41",["https://ghibliapi.herokuapp.com/people/"],["https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2"],["https://ghibliapi.herokuapp.com/locations/"],["https://ghibliapi.herokuapp.com/vehicles/"],"https://ghibliapi.herokuapp.com/films/112c1e67-726f-40b1-ac17-6974127bb9b9"
"758bf02e-3122-46e0-884e-67cf83df1786","Ponyo","崖の上のポニョ","Gake no ue no Ponyo","https://image.tmdb.org/t/p/w600_and_h900_bestv2/mikKSEdk5kLhflWXbp4S5mmHsDo.jpg","https://image.tmdb.org/t/p/original/6a1qZ1qat26mAIK3Lq8iYdGpyHm.jpg","The son of a sailor, 5-year old Sosuke lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day, he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her, names her Ponyo. But she is no ordinary goldfish. The daughter of a masterful wizard and a sea goddess, Ponyo uses her father's magic to transform herself into a young girl and quickly falls in love with Sosuke, but the use of such powerful sorcery causes a dangerous imbalance in the world. As the moon steadily draws nearer to the earth and Ponyo's father sends the ocean's mighty waves to find his daughter, the two children embark on an adventure of a lifetime to save the world and fulfill Ponyo's dreams of becoming human.","Hayao Miyazaki","Toshio Suzuki","2008","100","92",["https://ghibliapi.herokuapp.com/people/"],["https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2"],["https://ghibliapi.herokuapp.com/locations/"],["https://ghibliapi.herokuapp.com/vehicles/"],"https://ghibliapi.herokuapp.com/films/758bf02e-3122-46e0-884e-67cf83df1786"
"2de9426b-914a-4a06-a3a0-5e6d9d3886f6","Arrietty","借りぐらしのアリエッティ","Karigurashi no Arietti","https://image.tmdb.org/t/p/w600_and_h900_bestv2/oc2OB2KDmSRDMelKEAA1n4YRQL0.jpg","https://image.tmdb.org/t/p/original/7Z7WVzJsSReG8B0CaPk0bvWD7tK.jpg","14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items 'borrowed' from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.","Hiromasa Yonebayashi","Toshio Suzuki","2010","94","95",["https://ghibliapi.herokuapp.com/people/"],["https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2"],["https://ghibliapi.herokuapp.com/locations/"],["https://ghibliapi.herokuapp.com/vehicles/"],"https://ghibliapi.herokuapp.com/films/2de9426b-914a-4a06-a3a0-5e6d9d3886f6"
"45db04e4-304a-4933-9823-33f389e8d74d","From Up on Poppy Hill","コクリコ坂から","Kokuriko zaka kara","https://image.tmdb.org/t/p/w600_and_h900_bestv2/rRLYX4RZIyloHSJwvZKAhphAjiB.jpg","https://image.tmdb.org/t/p/original/xtPBZYaWQMQxRpy7mkdk5n1bTxs.jpg","The story is set in 1963 in Yokohama. Kokuriko Manor sits on a hill overlooking the harbour. A 16 year-old girl, Umi, lives in that house. Every morning she raises a signal flag facing the sea. The flag means “I pray for safe voyages”. A 17 year-old boy, Shun, always sees this flag from the sea as he rides a tugboat to school. Gradually the pair are drawn to each other but they are faced with a sudden trial. Even so, they keep going without running from facing the hardships of reality.","Gorō Miyazaki","Toshio Suzuki","2011","91","83",["https://ghibliapi.herokuapp.com/people/"],["https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2"],["https://ghibliapi.herokuapp.com/locations/"],["https://ghibliapi.herokuapp.com/vehicles/"],"https://ghibliapi.herokuapp.com/films/45db04e4-304a-4933-9823-33f389e8d74d"
"67405111-37a5-438f-81cc-4666af60c800","The Wind Rises","風立ちぬ","Kaze tachinu","https://image.tmdb.org/t/p/w600_and_h900_bestv2/jfwSexzlIzaOgxP9A8bTA6t8YYb.jpg","https://image.tmdb.org/t/p/original/stM3jlD4nSJhlvR2DE7XnB0eN25.jpg","A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.","Hayao Miyazaki","Toshio Suzuki","2013","126","89",["https://ghibliapi.herokuapp.com/people/"],["https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2"],["https://ghibliapi.herokuapp.com/locations/"],["https://ghibliapi.herokuapp.com/vehicles/"],"https://ghibliapi.herokuapp.com/films/67405111-37a5-438f-81cc-4666af60c800"
"578ae244-7750-4d9f-867b-f3cd3d6fecf4","The Tale of the Princess Kaguya","かぐや姫の物語","Kaguya-Hime no Monogatari","https://image.tmdb.org/t/p/w600_and_h900_bestv2/mWRQNlWXYYfd2z4FRm99MsgHgiA.jpg","https://image.tmdb.org/t/p/original/lMaWlYThCSnsmW3usxWTpSuyZp1.jpg","A bamboo cutter named Sanuki no Miyatsuko discovers a miniature girl inside a glowing bamboo shoot. Believing her to be a divine presence, he and his wife decide to raise her as their own, calling her 'Princess'.","Isao Takahata","Yoshiaki Nishimura","2013","137","100",["https://ghibliapi.herokuapp.com/people/"],["https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2"],["https://ghibliapi.herokuapp.com/locations/"],["https://ghibliapi.herokuapp.com/vehicles/"],"https://ghibliapi.herokuapp.com/films/578ae244-7750-4d9f-867b-f3cd3d6fecf4"
"5fdfb320-2a02-49a7-94ff-5ca418cae602","When Marnie Was There","思い出のマーニー","Omoide no Marnie","https://image.tmdb.org/t/p/w600_and_h900_bestv2/vug1dvDI1tSa60Z8qjCuUE7ntkO.jpg","https://image.tmdb.org/t/p/original/axUX7urQDwCGQ9qbgh2Yys7qY9J.jpg","The film follows Anna Sasaki living with her relatives in the seaside town. Anna comes across a nearby abandoned mansion, where she meets Marnie, a mysterious girl who asks her to promise to keep their secrets from everyone. As the summer progresses, Anna spends more time with Marnie, and eventually Anna learns the truth about her family and foster care.","Hiromasa Yonebayashi","Yoshiaki Nishimura","2014","103","92",["https://ghibliapi.herokuapp.com/people/"],["https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2"],["https://ghibliapi.herokuapp.com/locations/"],["https://ghibliapi.herokuapp.com/vehicles/"],"https://ghibliapi.herokuapp.com/films/5fdfb320-2a02-49a7-94ff-5ca418cae602"
"d868e6ec-c44a-405b-8fa6-f7f0f8cfb500","The Red Turtle","レッドタートル ある島の物語","Reddotātoru aru shima no monogatari","https://image.tmdb.org/t/p/w600_and_h900_bestv2/wOBU3SLjQ9358Km9YWYasPZyebp.jpg","https://image.tmdb.org/t/p/original/kjXdW5H3myRBmTMYgKayjphr2FA.jpg","A man set adrift by a storm wakes up on a beach. He discovers that he is on a deserted island with plenty of fresh water, fruit and a dense bamboo forest. He builds a raft from bamboo and attempts to sail away, but his raft is destroyed by an unseen monster in the sea, forcing him back to the island. He tries again with another, larger raft, but is again foiled by the creature. A third attempt again ends with the raft destroyed, but this time he is confronted by a giant red turtle, which stares at him, and forces him back to the island.","Michaël Dudok de Wit","Toshio Suzuki, Isao Takahata, Vincent Maraval, Pascal Caucheteux, Grégoire Sorlat","2016","80","93",["https://ghibliapi.herokuapp.com/people/"],["https://ghibliapi.herokuapp.com/species/"],["https://ghibliapi.herokuapp.com/locations/"],["https://ghibliapi.herokuapp.com/vehicles/"],"https://ghibliapi.herokuapp.com/films/d868e6ec-c44a-405b-8fa6-f7f0f8cfb500"
